kkmeans,k-means法によるクラスタ分析,クラスタリング
mchgnum,文字列の置換,セルの値の変換
mdformat,日付時刻抽出,セルの値の変換
mnullto,NULL置換,セルの値の変換
msed,正規表現による文字列置換,セルの値の変換
mtonull,NULL値へ置換,セルの値の変換
mvdelim,ベクトル要素の区切り文字変更,セルの値の変換
mvdelnull,ベクトル要素のNULL要素削除,セルの値の変換
mvnullto,ベクトル要素のNULL置換,セルの値の変換
mvsort,ベクトル要素のソート,セルの値の変換
mvuniq,ベクトル要素の単一化,セルの値の変換
mbucket,行分割,テーブルの分割
mmbucket,多次元行分割,テーブルの分割
msep,レコードの分割(msep),テーブルの分割
msep2,連番、項目値表の出力を伴った行分割,テーブルの分割
mshuffle,レコード分割(mshuffle),テーブルの分割
mcat,ファイル結合,テーブルの結合
mcommon,行選択,テーブルの結合
mjoin,結合,テーブルの結合
mnjoin,参照ファイル列の結合,テーブルの結合
mnrcommon,参照ファイルの複数範囲条件による行選択,テーブルの結合
mnrjoin,参照ファイルの複数範囲条件結合,テーブルの結合
mpaste,参照ファイル列の行番号マッチング結合,テーブルの結合
mproduct,参照ファイルの直積結合,テーブルの結合
mrjoin,参照ファイルのの範囲条件結合,テーブルの結合
mvcommon,ベクトル要素の参照選択,テーブルの結合
mvjoin,ベクトル要素の参照結合,テーブルの結合
mvreplace,ベクトル要素の参照置換,テーブルの結合
maccum,累積計算,テーブルの集計
mavg,平均,テーブルの集計
mcount,行数カウント,テーブルの集計
mhashavg,ハッシュ法による列値の平均,テーブルの集計
mhashsum,ハッシュ法による列の値の合計,テーブルの集計
mkeybreak,キーブレイク箇所,テーブルの集計
mmvavg,移動平均の算出,テーブルの集計
mmvsim,移動窓の類似度計算,テーブルの集計
mmvstats,移動窓の統計量の計算,テーブルの集計
normalize,基準化,テーブルの集計
mslide,行ずらし,テーブルの集計
mstats,統計量,テーブルの集計
msum,合計,テーブルの集計
msummary,1変数の統計量の計算,テーブルの集計
mwindow,スライド窓の生成,テーブルの集計
mchkcsv,CSV検査,データの整合性チェック
mnewnumber,連番データの新規作成,データソース出力
mnewrand,乱数データの新規作成,データソース出力
mnewstr,固定文字列データの新規作成,データソース出力
mtee,複数ファイルへのコピー,データソース出力
marff2csv,arffからcsv形式への変換,フォーマットの整形
mcsv2arff,csvからarff形式への変換,フォーマットの整形
mtab2csv,TSVからCSVデータへの変換,フォーマットの整形
mxml2csv,xmlからcsv形式への変換,フォーマットの整形
cKab,アダブーストによる分類,分類
cKbag,バギングによる分類,分類
cKdt,決定木による分類,分類
cKgb,勾配ブースティングによる分類,分類
cKnearestNeighbors,最近傍法による分類,分類
cKneuralnet,ニューラルネットワークによる分類,分類
cKrf,ランダムフォレストによる分類,分類
cKsvm,サポートベクターマシンによる分類,分類
kgaussianNb,ナイーブベイズによる分類,分類
klogreg,ロジスティック回帰,分類
mcut,列選択,列に対する選択・加工
mfldname,列名の変更,列に対する選択・加工
mnumber,連番,列に対する選択・加工
mrand,擬似乱数,列に対する選択・加工
msetstr,文字列追加,列に対する選択・加工
mshare,構成費の計算,列に対する選択・加工
msplit,区切り文字による項目分割,列に対する選択・加工
mvcat,ベクトルの併合,列に対する選択・加工
mvcount,ベクトルサイズの計算,列に対する選択・加工
kelastic,elastic net回帰,回帰
klasso,lasso回帰,回帰
klinreg,線形回帰,回帰
kridge,ridge回帰,回帰
rKab,アダブーストによる回帰,回帰
rKbag,バギングによる回帰,回帰
rKdt,決定木による回帰,回帰
rKgb,勾配ブースティングによる回帰,回帰
rKnearestNeighbors,最近傍法による回帰,回帰
rKneuralnet,ニューラルネットワークによる回帰,回帰
rKrf,ランダムフォレストによる回帰,回帰
rKsvm,サポートベクターマシンによる回帰,回帰
label_encode,Label_encode,機械学習 前処理
normalize,正規化,機械学習 前処理
one_hot_encode,One_hot_encode,機械学習 前処理
pca,主成分分析,機械学習 前処理
select_target_column,列選択,機械学習 前処理
standardize,標準化,機械学習 前処理
evaluate,評価,機械学習 後処理
predict,推定,機械学習 後処理
m2cross,1対Nのクロス集計,行と列に対する加工
mcombi,組合せ計算,行と列に対する加工
mcross,クロス集計,行と列に対する加工
mtra,縦型データをベクトル項目に変換,行と列に対する加工
mtrafld,クロス表をトランザクション項目に変換(Mtrafld),行と列に対する加工
mtraflg,クロス表をトランザクション項目に変換(Mtraflg),行と列に対する加工
mbest,指定行選択,行に対する選択・加工
mdelnull,NULL行削除,行に対する選択・加工
mduprec,レコードの複写,行に対する選択・加工
mpadding,行補完コマンド,行に対する選択・加工
msel,行絞り込み,行に対する選択・加工
mselnum,数値範囲による行選択,行に対する選択・加工
mselrand,ランダムな行選択,行に対する選択・加工
mselstr,行選択(文字列),行に対する選択・加工
muniq,単一化,行に対する選択・加工
mfsortf,項目ソート,行のソート
msortf,ソート,行のソート
mcal,計算,項目間の計算
