date,prefecture,average
2018/1/1,nagoya,4.8
2018/1/1,kobe,6.7
2018/1/1,kushiro,0.9
2018/1/2,nagoya,5
2018/1/2,kobe,7
2018/1/2,kushiro,0.6
2018/1/3,nagoya,3.7
2018/1/3,kobe,5
2018/1/3,kushiro,-1.1
2018/1/4,nagoya,3.1
2018/1/4,kobe,4.9
2018/1/4,kushiro,-3.3
2018/1/5,nagoya,3.4
2018/1/5,kobe,3.9
2018/1/5,kushiro,-4.8
2018/1/6,nagoya,3.8
2018/1/6,kobe,6.3
2018/1/6,kushiro,-3.9
2018/1/7,nagoya,5.3
2018/1/7,kobe,6.4
2018/1/7,kushiro,-4
2018/1/8,nagoya,5.3
2018/1/8,kobe,8.5
2018/1/8,kushiro,-3.2
2018/1/9,nagoya,6.5
2018/1/9,kobe,7.9
2018/1/9,kushiro,1.9
2018/1/10,nagoya,4.5
2018/1/10,kobe,4.7
2018/1/10,kushiro,0.5
2018/1/11,nagoya,2.6
2018/1/11,kobe,1.9
2018/1/11,kushiro,-2.2
2018/1/12,nagoya,0.7
2018/1/12,kobe,1.8
2018/1/12,kushiro,-6.2
2018/1/13,nagoya,1.3
2018/1/13,kobe,2.7
2018/1/13,kushiro,-7
2018/1/14,nagoya,2.8
2018/1/14,kobe,4.1
2018/1/14,kushiro,-5.7
2018/1/15,nagoya,5
2018/1/15,kobe,5.8
2018/1/15,kushiro,-2.7
2018/1/16,nagoya,7.7
2018/1/16,kobe,9
2018/1/16,kushiro,0.4
2018/1/17,nagoya,8.8
2018/1/17,kobe,12.1
2018/1/17,kushiro,-0.9
2018/1/18,nagoya,9.9
2018/1/18,kobe,10.8
2018/1/18,kushiro,-1.2
2018/1/19,nagoya,8
2018/1/19,kobe,9.3
2018/1/19,kushiro,-2.2
2018/1/20,nagoya,6.3
2018/1/20,kobe,8.2
2018/1/20,kushiro,-3.3
2018/1/21,nagoya,6.3
2018/1/21,kobe,7.8
2018/1/21,kushiro,-3
2018/1/22,nagoya,3.6
2018/1/22,kobe,4.9
2018/1/22,kushiro,-5.3
2018/1/23,nagoya,3.7
2018/1/23,kobe,5.2
2018/1/23,kushiro,-3.1
2018/1/24,nagoya,0.2
2018/1/24,kobe,0.1
2018/1/24,kushiro,-4
2018/1/25,nagoya,-1.1
2018/1/25,kobe,0.3
2018/1/25,kushiro,-5.5
2018/1/26,nagoya,-0.5
2018/1/26,kobe,1.5
2018/1/26,kushiro,-3.8
2018/1/27,nagoya,0.3
2018/1/27,kobe,1.5
2018/1/27,kushiro,-4
2018/1/28,nagoya,0
2018/1/28,kobe,2.4
2018/1/28,kushiro,-4.2
2018/1/29,nagoya,2.6
2018/1/29,kobe,4.1
2018/1/29,kushiro,-4.2
2018/1/30,nagoya,2.1
2018/1/30,kobe,2.5
2018/1/30,kushiro,-7.1
2018/1/31,nagoya,3.1
2018/1/31,kobe,4
2018/1/31,kushiro,-6.8
2018/2/1,nagoya,3.8
2018/2/1,kobe,3.5
2018/2/1,kushiro,-5.3
2018/2/2,nagoya,5
2018/2/2,kobe,4.3
2018/2/2,kushiro,-4.9
2018/2/3,nagoya,5.1
2018/2/3,kobe,4.3
2018/2/3,kushiro,-5.2
2018/2/4,nagoya,3.6
2018/2/4,kobe,2.7
2018/2/4,kushiro,-2.5
2018/2/5,nagoya,2.1
2018/2/5,kobe,1.3
2018/2/5,kushiro,-2
2018/2/6,nagoya,1.1
2018/2/6,kobe,0.7
2018/2/6,kushiro,-6
2018/2/7,nagoya,0.8
2018/2/7,kobe,1.5
2018/2/7,kushiro,-7.9
2018/2/8,nagoya,1.5
2018/2/8,kobe,3.2
2018/2/8,kushiro,-5.3
2018/2/9,nagoya,3
2018/2/9,kobe,4.4
2018/2/9,kushiro,-4.1
2018/2/10,nagoya,4.3
2018/2/10,kobe,6.1
2018/2/10,kushiro,-3.7
2018/2/11,nagoya,4.4
2018/2/11,kobe,4.7
2018/2/11,kushiro,-0.1
2018/2/12,nagoya,2.3
2018/2/12,kobe,2.2
2018/2/12,kushiro,-6.5
2018/2/13,nagoya,2.4
2018/2/13,kobe,2.9
2018/2/13,kushiro,-6.7
2018/2/14,nagoya,3.9
2018/2/14,kobe,5.5
2018/2/14,kushiro,-4.4
2018/2/15,nagoya,6.8
2018/2/15,kobe,8.4
2018/2/15,kushiro,-5.1
2018/2/16,nagoya,6.4
2018/2/16,kobe,6.6
2018/2/16,kushiro,-5.8
2018/2/17,nagoya,4
2018/2/17,kobe,6.1
2018/2/17,kushiro,-5.8
2018/2/18,nagoya,2.5
2018/2/18,kobe,3.7
2018/2/18,kushiro,-8
2018/2/19,nagoya,4.4
2018/2/19,kobe,5.2
2018/2/19,kushiro,-7.4
2018/2/20,nagoya,7.1
2018/2/20,kobe,7.6
2018/2/20,kushiro,-4.1
2018/2/21,nagoya,5.7
2018/2/21,kobe,6.8
2018/2/21,kushiro,-6
2018/2/22,nagoya,5.3
2018/2/22,kobe,6.4
2018/2/22,kushiro,-6.3
2018/2/23,nagoya,5.9
2018/2/23,kobe,6.9
2018/2/23,kushiro,0.9
2018/2/24,nagoya,5.9
2018/2/24,kobe,7.8
2018/2/24,kushiro,-1.8
2018/2/25,nagoya,6.6
2018/2/25,kobe,7.2
2018/2/25,kushiro,-4.5
2018/2/26,nagoya,9.1
2018/2/26,kobe,8.6
2018/2/26,kushiro,-5.3
2018/2/27,nagoya,8.3
2018/2/27,kobe,8.7
2018/2/27,kushiro,-5.6
2018/2/28,nagoya,9.9
2018/2/28,kobe,11.4
2018/2/28,kushiro,-4.7
2018/3/1,nagoya,11.9
2018/3/1,kobe,12.4
2018/3/1,kushiro,-1.9
2018/3/2,nagoya,7
2018/3/2,kobe,8.1
2018/3/2,kushiro,1
2018/3/3,nagoya,8.6
2018/3/3,kobe,9.7
2018/3/3,kushiro,0.9
2018/3/4,nagoya,12.3
2018/3/4,kobe,14.8
2018/3/4,kushiro,1
2018/3/5,nagoya,11.8
2018/3/5,kobe,13.9
2018/3/5,kushiro,-0.7
2018/3/6,nagoya,9
2018/3/6,kobe,7.6
2018/3/6,kushiro,-2.8
2018/3/7,nagoya,7.6
2018/3/7,kobe,8.2
2018/3/7,kushiro,-4
2018/3/8,nagoya,9.5
2018/3/8,kobe,11.6
2018/3/8,kushiro,-1
2018/3/9,nagoya,9.6
2018/3/9,kobe,7.2
2018/3/9,kushiro,4.7
2018/3/10,nagoya,6.4
2018/3/10,kobe,5.9
2018/3/10,kushiro,-1.2
2018/3/11,nagoya,7.3
2018/3/11,kobe,7.5
2018/3/11,kushiro,-1.9
2018/3/12,nagoya,9.3
2018/3/12,kobe,8.9
2018/3/12,kushiro,-0.2
2018/3/13,nagoya,11.4
2018/3/13,kobe,12.7
2018/3/13,kushiro,1.2
2018/3/14,nagoya,14.7
2018/3/14,kobe,15.3
2018/3/14,kushiro,3.4
2018/3/15,nagoya,15.8
2018/3/15,kobe,16.1
2018/3/15,kushiro,2.2
2018/3/16,nagoya,10.4
2018/3/16,kobe,10.2
2018/3/16,kushiro,-0.2
2018/3/17,nagoya,8
2018/3/17,kobe,8
2018/3/17,kushiro,-2
2018/3/18,nagoya,11.4
2018/3/18,kobe,12
2018/3/18,kushiro,1.9
2018/3/19,nagoya,12.8
2018/3/19,kobe,14.8
2018/3/19,kushiro,2.8
2018/3/20,nagoya,10
2018/3/20,kobe,9.3
2018/3/20,kushiro,-2.1
2018/3/21,nagoya,7.3
2018/3/21,kobe,9.2
2018/3/21,kushiro,-1.8
2018/3/22,nagoya,9.7
2018/3/22,kobe,10
2018/3/22,kushiro,1.8
2018/3/23,nagoya,9.3
2018/3/23,kobe,8.4
2018/3/23,kushiro,-0.3
2018/3/24,nagoya,10.8
2018/3/24,kobe,10.1
2018/3/24,kushiro,0.7
2018/3/25,nagoya,13.4
2018/3/25,kobe,12.5
2018/3/25,kushiro,4
2018/3/26,nagoya,14.5
2018/3/26,kobe,14.1
2018/3/26,kushiro,5.1
2018/3/27,nagoya,15.2
2018/3/27,kobe,15.3
2018/3/27,kushiro,2.7
2018/3/28,nagoya,16.7
2018/3/28,kobe,16.4
2018/3/28,kushiro,4.9
2018/3/29,nagoya,17.1
2018/3/29,kobe,17.6
