武器,時間,総人数,班人数,アシスト数,ノックダウン数,乗り物距離,徒歩距離,ダメージ,殺害数,距離
Punch,125,47,2,0,0,0,2223.52026,0,0,0.8791864933
M416,1628,47,2,0,0,0,67.80916,67,0,96.88839335
S1897,148,91,1,0,0,0,723.1023,100,1,3.371791809
M16A4,183,47,2,1,4,1305.98608,1967.30371,546,2,32.32287363
M416,134,47,2,0,0,0,32.88068,0,0,38.76744744
UMP9,712,91,1,0,0,0,170.954788,0,0,41.28883483
AKM,117,47,2,1,0,0,233.356659,87,0,9.368459052
S686,137,47,2,0,1,0,34.67543,218,1,0.6820183282
S12K,97,47,2,1,0,4105.36865,3281.059,156,1,1.692951565
P92,111,47,2,0,1,0,34.67543,218,1,4.194218044
S686,105,47,2,0,0,0,162.5079,0,0,13.62615298
M16A4,1181,47,2,0,0,0,369.42453,33,1,27.08590194
S686,103,47,2,0,0,5002.4917,2084.32373,4,0,5.595234133
Tommy Gun,612,47,2,0,0,0,15.25666,0,0,16.82366241
M416,883,47,2,0,0,0,69.8615952,0,0,1.510160256
Hit by Car,1168,47,2,0,0,0,51.7135925,49,0,3.756552941
Micro UZI,102,47,2,0,4,3855.58569,2915.76465,653,5,3.279444008
M16A4,297,91,1,0,0,0,723.1023,100,1,18.63379202
P18C,126,91,1,0,0,0,0,0,0,5.569595048
Kar98k,1609,47,2,0,0,0,465.5176,0,0,164.5274059
Bluezone,1518,47,2,1,0,4105.36865,3281.059,156,1,159.7434723
M16A4,443,47,2,0,1,0,211.033432,177,0,3.568070907
SKS,752,91,1,0,0,0,170.954788,0,0,31.02135111
Tommy Gun,175,47,2,0,1,391.711945,57.9005,100,0,3.995059449
M416,1273,91,1,0,0,0,66.54559,0,0,3.910634859
S686,411,47,2,0,1,0,154.91124,144,1,2.044794611
UMP9,263,91,1,0,0,0,170.954788,0,0,19.97335525
Punch,165,47,2,0,0,2635.136,1066.9884,38,0,0.8004461256
M416,1560,47,2,0,4,3855.58569,2915.76465,653,5,90.26102482
Bluezone,830,91,1,0,0,0,0,0,0,0
Win94,127,47,2,0,0,4997.77051,2129.49585,4,0,67.36056426
Bluezone,827,91,1,0,0,0,66.54559,0,0,4915.406003
Bluezone,1768,91,1,0,0,0,723.1023,100,1,3941.928143
AKM,886,47,2,0,0,0,153.580719,0,0,210.3228315
M416,1905,47,2,0,2,0,3525.53369,325,4,39.20374014
Punch,158,47,2,0,1,0,159.24678,141,1,0.8480232839
Grenade,823,47,2,0,0,0,1663.05615,18,1,0
SCAR-L,1305,91,1,0,0,0,0,0,0,14.48862909
Grenade,1944,47,2,0,1,0,159.24678,141,1,54.22578082
SCAR-L,654,47,2,0,0,0,2.0280416,63,0,9.016539081
Micro UZI,109,91,1,0,0,0,170.954788,0,0,4.3208844
Kar98k,937,91,1,0,0,0,723.1023,100,1,66.60096173
AKM,113,47,2,0,0,4997.77051,2129.49585,4,0,8.786341958
M416,552,47,2,0,4,3855.58569,2915.76465,653,5,4.474449352
SCAR-L,1263,47,2,0,1,0,34.784,96,1,23.10144173
AKM,167,47,2,0,0,0,822.74646,0,0,6.337556706
S686,96,47,2,0,1,0,257.125366,313,3,6.394103534
M416,229,47,2,0,1,0,34.67543,218,1,1.714877255
S686,89,47,2,0,1,0,154.91124,144,1,4.719576358
AKM,1477,91,1,0,0,0,723.1023,100,1,17.89159079
SCAR-L,986,47,2,0,0,0,32.88068,0,0,14.62049948
Punch,123,47,2,0,0,0,162.5079,0,0,8065.346323
Kar98k,1636,91,1,0,0,0,0,0,0,79.74500663
M416,1467,47,2,0,0,0,0,0,0,62.91742666
S686,103,47,2,0,0,0,0,0,0,2.823002834
Grenade,642,47,2,0,0,0,107.830711,0,0,50.95906652
S12K,235,47,2,0,0,0,98.9419556,0,0,4.963130564
