武器,時間,総人数,班人数,アシスト数,ノックダウン数,乗り物距離,徒歩距離,ダメージ,殺害数,距離
Grenade,825,91,1,0,0,0,0,0,0,0
M416,1947,91,1,0,0,0,706.7274,0,0,749.2827771
AKM,744,91,1,0,0,0,13.9661589,0,0,838.1348638
M16A4,699,91,1,0,0,0,171.16272,0,0,1265.101877
M16A4,1105,91,1,0,0,0,866.0461,0,0,1593.71943
Kar98k,1812,91,1,0,0,1102.62781,559.3323,37,0,7620.065386
Mini 14,859,91,1,0,0,1455.35193,1851.3208,155,1,12385.73755
UMP9,742,91,1,0,0,1455.35193,1851.3208,155,1,1865.163081
S1897,250,91,1,0,0,0,171.16272,0,0,947.6640175
UMP9,249,91,1,0,0,0,122.943039,114,1,80.07427802
Mini 14,1156,91,1,0,0,1102.62781,559.3323,37,0,18099.44589
Mini 14,795,91,1,0,0,0,927.809937,0,0,9686.492273
Bluezone,1335,91,1,0,0,0,259.5517,95,0,431728.4722
AKM,666,91,1,0,0,0,171.16272,0,0,396.8968758
P92,200,91,1,0,0,0,171.16272,0,0,956.2460614
AKM,1072,91,1,0,0,0,927.809937,0,0,3197.219981
SKS,1007,91,1,0,0,0,171.16272,0,0,17710.59593
SCAR-L,352,91,1,0,0,0,259.5517,95,0,1060.136312
AKM,656,91,1,0,0,0,927.809937,0,0,148.4232462
Micro UZI,1080,91,1,0,0,0,122.943039,114,1,83.67030537
AKM,1523,91,1,0,0,0,706.7274,0,0,7273.60134
S686,291,91,1,0,0,0,171.16272,0,0,224.0701676
M16A4,524,91,1,0,0,1102.62781,559.3323,37,0,2017.118033
S686,131,91,1,0,0,1102.62781,559.3323,37,0,625494.2687
AKM,1112,91,1,0,0,512.780151,1002.79376,0,0,4711.81999
Bluezone,832,91,1,0,0,0,122.943039,114,1,0
UMP9,841,91,1,0,0,0,171.16272,0,0,2279.723953
Bluezone,1011,91,1,0,0,0,706.7274,0,0,453908.1758
M416,1959,91,1,0,0,2969.77271,2556.407,101,1,355.4410218
Micro UZI,240,91,1,0,0,2969.77271,2556.407,101,1,2291.070468
SCAR-L,765,91,1,0,0,0,0,0,0,20470.87027
AKM,346,91,1,0,0,0,171.16272,0,0,210.714831
M16A4,270,91,1,0,0,0,927.809937,0,0,1448.509002
P1911,142,91,1,0,0,0,122.943039,114,1,572.0269312
S686,137,91,1,0,0,0,866.0461,0,0,386.4683299
Bluezone,1382,91,1,0,0,0,927.809937,0,0,450990.1824
S1897,278,91,1,0,0,0,122.943039,114,1,313.2634833
M16A4,109,91,1,0,0,0,927.809937,0,0,776.1063072
S12K,427,91,1,0,0,1102.62781,559.3323,37,0,955.0451141
Bluezone,837,91,1,0,0,0,259.5517,95,0,0
Bluezone,1278,91,1,0,0,1102.62781,559.3323,37,0,583930.7053
AKM,727,91,1,0,0,1455.35193,1851.3208,155,1,1187.4473
R1895,125,91,1,0,0,0,706.7274,0,0,1666.246608
AKM,166,91,1,0,0,0,122.943039,114,1,1611.619068
SCAR-L,333,91,1,0,0,0,866.0461,0,0,2985.617903
M16A4,716,91,1,0,0,0,866.0461,0,0,513.6695436
Kar98k,1678,91,1,0,0,1102.62781,559.3323,37,0,26893.24294
Mini 14,1124,91,1,0,0,0,927.809937,0,0,3662.919225
M416,1161,91,1,0,0,0,927.809937,0,0,22905.64223
Micro UZI,264,91,1,0,0,1102.62781,559.3323,37,0,352.1420168
M16A4,209,91,1,0,0,1455.35193,1851.3208,155,1,517223.6044
M16A4,337,91,1,0,0,0,706.7274,0,0,1573.82086
