date,nagoya,kobe,kushiro
2018/1/1,4.8,6.7,0.9
2018/1/2,5,7,0.6
2018/1/3,3.7,5,-1.1
2018/1/4,3.1,4.9,-3.3
2018/1/5,3.4,3.9,-4.8
2018/1/6,3.8,6.3,-3.9
2018/1/7,5.3,6.4,-4
2018/1/8,5.3,8.5,-3.2
2018/1/9,6.5,7.9,1.9
2018/1/10,4.5,4.7,0.5
2018/1/11,2.6,1.9,-2.2
2018/1/12,0.7,1.8,-6.2
2018/1/13,1.3,2.7,-7
2018/1/14,2.8,4.1,-5.7
2018/1/15,5,5.8,-2.7
2018/1/16,7.7,9,0.4
2018/1/17,8.8,12.1,-0.9
2018/1/18,9.9,10.8,-1.2
2018/1/19,8,9.3,-2.2
2018/1/20,6.3,8.2,-3.3
2018/1/21,6.3,7.8,-3
2018/1/22,3.6,4.9,-5.3
2018/1/23,3.7,5.2,-3.1
2018/1/24,0.2,0.1,-4
2018/1/25,-1.1,0.3,-5.5
2018/1/26,-0.5,1.5,-3.8
2018/1/27,0.3,1.5,-4
2018/1/28,0,2.4,-4.2
2018/1/29,2.6,4.1,-4.2
2018/1/30,2.1,2.5,-7.1
2018/1/31,3.1,4,-6.8
2018/2/1,3.8,3.5,-5.3
2018/2/2,5,4.3,-4.9
2018/2/3,5.1,4.3,-5.2
2018/2/4,3.6,2.7,-2.5
2018/2/5,2.1,1.3,-2
2018/2/6,1.1,0.7,-6
2018/2/7,0.8,1.5,-7.9
2018/2/8,1.5,3.2,-5.3
2018/2/9,3,4.4,-4.1
2018/2/10,4.3,6.1,-3.7
2018/2/11,4.4,4.7,-0.1
2018/2/12,2.3,2.2,-6.5
2018/2/13,2.4,2.9,-6.7
2018/2/14,3.9,5.5,-4.4
2018/2/15,6.8,8.4,-5.1
2018/2/16,6.4,6.6,-5.8
2018/2/17,4,6.1,-5.8
2018/2/18,2.5,3.7,-8
2018/2/19,4.4,5.2,-7.4
2018/2/20,7.1,7.6,-4.1
2018/2/21,5.7,6.8,-6
2018/2/22,5.3,6.4,-6.3
2018/2/23,5.9,6.9,0.9
2018/2/24,5.9,7.8,-1.8
2018/2/25,6.6,7.2,-4.5
2018/2/26,9.1,8.6,-5.3
2018/2/27,8.3,8.7,-5.6
2018/2/28,9.9,11.4,-4.7
2018/3/1,11.9,12.4,-1.9
2018/3/2,7,8.1,1
2018/3/3,8.6,9.7,0.9
2018/3/4,12.3,14.8,1
2018/3/5,11.8,13.9,-0.7
2018/3/6,9,7.6,-2.8
2018/3/7,7.6,8.2,-4
2018/3/8,9.5,11.6,-1
2018/3/9,9.6,7.2,4.7
2018/3/10,6.4,5.9,-1.2
2018/3/11,7.3,7.5,-1.9
2018/3/12,9.3,8.9,-0.2
2018/3/13,11.4,12.7,1.2
2018/3/14,14.7,15.3,3.4
2018/3/15,15.8,16.1,2.2
2018/3/16,10.4,10.2,-0.2
2018/3/17,8,8,-2
2018/3/18,11.4,12,1.9
2018/3/19,12.8,14.8,2.8
2018/3/20,10,9.3,-2.1
2018/3/21,7.3,9.2,-1.8
2018/3/22,9.7,10,1.8
2018/3/23,9.3,8.4,-0.3
2018/3/24,10.8,10.1,0.7
2018/3/25,13.4,12.5,4
2018/3/26,14.5,14.1,5.1
2018/3/27,15.2,15.3,2.7
2018/3/28,16.7,16.4,4.9
2018/3/29,17.1,17.6,7.7
2018/3/30,14.1,13.4,2.8
2018/3/31,13.4,13,4.2
2018/4/1,16,16.2,2.1
2018/4/2,19,17.9,2.3
2018/4/3,19.8,18.5,5.7
