Date,Area_Ave,Area_Max,Area_Med,Area_Min,Area_Qt1,Area_Qt3,Area_count,Diameter_Ave,Diameter_Max,Diameter_Med,Diameter_Min,Diameter_Qt1,Diameter_Qt3,Diameter_count,LongDia_Ave,LongDia_Max,LongDia_Med,LongDia_Min,LongDia_Qt1,LongDia_Qt3,LongDia_count,Perimeter_Ave,Perimeter_Max,Perimeter_Med,Perimeter_Min,Perimeter_Qt1,Perimeter_Qt3,Perimeter_count,ShortDia_Ave,ShortDia_Max,ShortDia_Med,ShortDia_Min,ShortDia_Qt1,ShortDia_Qt3,ShortDia_count
201903140755,143.7064677,2696,56,5,18,163,603,10.89043085,58.588854,8.444016,2.523133,4.787307,14.406181,603,12.58977293,67.636513,9,2,4.24264,16.899852,603,45.83018242,333.756,33.796,9.414,17.656,62.057,603,9.088392163,53.87368,6.859943,0.6,3.535534,12.8485575,603
201903140756,162.592511,7014,61,5,19,169.25,1816,11.3122871,94.501334,8.812923,2.523133,4.918491,14.67976275,1816,12.98959967,150.333832,10,2,4.949747,17.46291175,1816,47.2830859,760.314,35.554,9.414,19.07,61.936,1816,9.587180236,105.391739,7,0.707107,3.535534,12.8933425,1816
201903140757,130.2778741,1624,54,5,18,156.5,1731,10.57889272,45.47242,8.29186,2.523133,4.787307,14.1160005,1731,11.99909609,73.416199,9.041945,2,4.24264,16.0929975,1731,43.90874061,440.66,33.898,9.414,18.242,58.108,1731,8.907431636,50.080017,6.666749,0.632455,3.535534,12,1731
201903140758,133.2613219,4335,54,5,18,148,1634,10.59618925,74.293293,8.29186,2.523133,4.787307,13.727325,1634,11.97485907,77.781738,9.1854795,1.414213,4.24264,15.261123,1634,43.61558262,374.304,34.14,9.414,17.7165,56.038,1634,8.917677767,72.124893,6.667349,0.894427,3.535534,12,1634
201903140759,126.2716361,7746,50,5,18,135.5,1583,10.20842055,99.310188,7.978846,2.523133,4.787307,13.134815,1583,11.58271221,103.379013,9,2,4.24264,15,1583,41.96055085,525.946,32.484,9.414,17.656,52.987,1583,8.464209113,98.429276,6.26099,0,3.130495,11,1583
201903140800,124.3432741,3286,53,5,18,137.25,1576,10.30065689,64.682804,8.214724,2.523133,4.787307,13.2193685,1576,11.59555955,86.163887,9,1.414213,4.24264,15,1576,41.90938198,466.138,32.968,9.414,17.656,53.2705,1576,8.572867891,67.535172,6.26099,0.447214,3.130495,11.18525525,1576
201903140801,129.4509673,4797,48,5,18,150.5,1499,10.32958132,78.151968,7.81764,2.523133,4.787307,13.8427605,1499,11.58893966,102.211174,8.930501,1.414213,4.24264,16,1499,42.44509273,403.756,31.796,9.414,17.656,55.331,1499,8.667818256,71.174347,6,0.894427,3.535534,12,1499
201903140802,121.6479182,3500,48,5,17,143,1369,10.07905742,66.755812,7.81764,2.523133,4.652426,13.493452,1369,11.39289683,79.992096,9,1.414213,4.110961,15.227017,1369,41.49555734,288.406,32.14,9.414,17.07,53.694,1369,8.381386346,68.589355,6,0,3,11.314047,1369
201903140803,123.0948958,7217,47,5,18,137,1391,10.08478513,95.859114,7.735778,2.523133,4.787307,13.20734,1391,11.44615943,129.410004,8.944272,1.414213,4.24264,15,1391,41.73916751,443.488,31.554,9.414,17.656,53.159,1391,8.393830239,75.797295,6,0,3.130495,11.342701,1391
201903140804,136.9102374,30614,44,5,18,136.25,1348,10.07945205,197.430888,7.484821,2.523133,4.787307,13.17112175,1348,11.27826304,240.210114,8.046499,2,4.24264,15,1348,40.81314985,903.002,29.898,9.414,17.656,53.452,1348,8.390414184,174.035614,6,0,3.535534,11.313707,1348
201903140805,110.9953668,4246,39,5,18,122.5,1295,9.592553674,73.526697,7.046726,2.523133,4.787307,12.4888425,1295,10.87234534,126.370255,8,1.414213,4,14.849241,1295,39.41100541,466.456,29.312,9.414,17.656,50.745,1295,7.92219789,73,5.656854,0.707107,3.1463865,10.606602,1295
201903140806,109.1488049,3895,45,5,19,125,1297,9.680888535,70.422071,7.569398,2.523133,4.918491,12.615663,1297,11.26301112,161.276093,8.485281,2,4.24264,14.208339,1297,40.216734,377.692,30.14,9.414,17.656,50.522,1297,7.944725765,69.181778,5.813777,0,3.577708,10.285913,1297
201903140807,126.3991935,10410,40,5,18,133,1240,9.85726561,115.127858,7.136496,2.523133,4.787307,13.013103,1240,10.91156995,132.396912,8,2,4,14.849241,1240,40.47001774,588.85,28.726,9.414,17.656,52.0985,1240,8.301227044,118.677017,5.5222005,0.894427,3.50052525,11,1240
201903140808,111.3868149,6571,41,5,18,115.5,1259,9.5775005,91.468339,7.225152,2.523133,4.787307,12.126767,1259,10.60327318,92,8,2,4,14,1259,39.02718189,488.876,29.312,9.414,17.656,48.745,1259,7.928365319,90,5.656854,0,3.535534,10.1352915,1259
201903140809,118.8193869,5708,41,5,18,129,1207,9.804233017,85.250521,7.225152,2.523133,4.787307,12.815924,1207,11.02052552,112.411469,8,1.414213,4,15.0445895,1207,39.65993869,445.284,29.07,9.414,17.07,51.745,1207,8.043597407,88.768036,5.656854,0.707107,3,10.5393035,1207
201903140810,105.7730496,1693,44,5,18,124.25,1128,9.59574309,46.428381,7.484821,2.523133,4.787307,12.57774,1128,10.68998579,79.506706,8,1.414213,4,14.15605275,1128,38.26294504,250.432,29.898,9.414,17.07,49.694,1128,7.860317015,50,6,0.707107,3,10,1128
201903140811,127.9065256,5377,40,5,18,125,1134,9.87795052,82.741822,7.136496,2.523133,4.787307,12.615663,1134,11.25465647,353.975159,7.952847,1.414213,4,14,1134,41.04637743,1246.948,28.382,9.414,17.07,50.038,1134,8.207362188,116.245293,5.366563,0,3,10.4939065,1134
201903140812,108.5507881,1343,38,5,17,123,1142,9.570636518,41.351671,6.955796,2.523133,4.652426,12.51433,1142,10.59944127,70.111755,7.60263,2,4,14,1142,38.65771103,244.814,28.14,9.414,17.07,49.694,1142,7.918358975,39.239658,5.491252,0.707107,3,10.606602,1142
201903140813,118.9714286,2787,43,5,18,137,1085,9.915562405,59.569444,7.399277,2.523133,4.787307,13.20734,1085,11.10325286,79.76609,8,2,4,15,1085,39.90807926,288.266,28.726,9.414,17.07,52.038,1085,8.184166484,52.238663,5.6921,0.727607,3,11,1085
201903140814,113.442029,3156,38,5,17,116,1104,9.574711144,63.390409,6.955796,2.523133,4.652426,12.153016,1104,10.71828249,80.282822,7.372375,2,4,14,1104,38.83866667,271.298,27.605,9.414,17.07,49.452,1104,7.889241018,58.523697,5,0,3,10.13946625,1104
201903140815,118.6619183,3138,38,5,18,129,1053,9.876367755,63.20938,6.955796,2.523133,4.787307,12.815924,1053,10.85617817,91.847115,7.808689,1.414213,4,14.285497,1053,39.73265907,631.092,28.484,9.414,17.07,50.968,1053,8.262551418,64,5.656854,0.707107,3,11,1053
201903140816,96.75071361,3640,37,5,17,109.5,1051,9.104590672,68.077837,6.863663,2.523133,4.652426,11.8075825,1051,10.02158994,71,7.488453,2,4,13.388126,1051,36.42155471,253.158,27.898,9.414,17.07,47.694,1051,7.454010957,64,5,0.707107,3,9.964282,1051
201903140817,101.2789416,2577,35,5,18,109,907,9.256525147,57.281221,6.675581,2.523133,4.787307,11.780624,907,10.25779929,113.210625,7.211102,2,4,13.210674,907,36.96464829,320.406,27.554,9.414,17.07,47.21,907,7.555787846,43.826927,5,0,3,10,907
201903140818,121.3107287,9406,35,5,18,115.5,988,9.501044415,109.435329,6.675581,2.523133,4.787307,12.12671025,988,10.68673397,168.309723,7,2,4,14,988,38.86031984,462.24,25.898,9.414,17.07,49.1335,988,7.799621583,84.162903,5,0.894427,3,10,988
201903140819,136.1513094,5771,38,5,18,133,1031,10.12103434,85.719691,6.955796,2.523133,4.787307,13.013103,1031,11.53014046,113.607681,8,1.414213,4,15.1324155,1031,41.54956741,425.182,28.14,9.414,17.07,53.331,1031,8.405193672,74,5.269652,0,3,11.1803395,1031
201903140820,138.1796165,20039,40,5,19,132.5,991,9.956953358,159.732424,7.136496,2.523133,4.918491,12.9885965,991,11.31393275,255.548111,8,1.414213,4,15,991,41.97214531,1673.43,29.554,9.414,17.656,51.038,991,8.25186349,171.635605,5.059644,0,3.535534,10.8758715,991
201903140821,111.4819773,6711,35,5,18,108,971,9.40226191,92.437604,6.675581,2.523133,4.787307,11.72646,971,10.33511935,106.333633,7.056423,2,4,13.620807,971,38.10074356,608.646,26.968,9.414,17.656,46.745,971,7.813367036,93.076637,5,0.894427,3.171136,9.9124465,971
201903140822,102.6124031,2649,34,5,18,111.5,903,9.267321801,58.075912,6.579525,2.523133,4.787307,11.9149275,903,10.27647491,74.115021,7.071068,2,4,13.169399,903,37.16355703,224.432,26.726,9.414,17.07,47.987,903,7.613806948,45.568531,5,0.632455,3.130495,10.5231145,903
201903140823,103.5561555,2007,31.5,5,18,104,926,9.196611073,50.550883,6.3328125,2.523133,4.787307,11.507255,926,10.34061216,67.358055,7,1.414213,4,13.33279575,926,37.9289676,237.26,26.14,9.414,17.4745,47.7355,926,7.544537446,51.547119,5,0.894427,3,9.5764,926
201903140824,108.6309524,3104,31,5,18,123.25,840,9.344795571,62.866013,6.282549,2.523133,4.787307,12.52702225,840,10.47798417,102.022324,7,2,4,14,840,38.35552857,717.588,25.312,9.414,17.07,49.5125,840,7.649564971,62.574364,5,0,3,10.16094425,840
201903140825,99.99648712,3466,30,5,18,104,854,9.08470869,66.430778,6.180387,2.523133,4.787307,11.507255,854,10.2152179,216.370468,7,1.414213,4,12.70821925,854,36.90887354,496.648,25.07,9.414,17.07,45.71,854,7.392617892,38.013153,4.949747,0.707107,3,9.4868325,854
201903140826,105.4519016,2645,34.5,5,17,110,894,9.309604801,58.032048,6.627553,2.523133,4.652426,11.834541,894,10.4588057,88.282288,7,1.414213,4,14,894,38.01077405,304.992,26.019,9.414,17.07,48.866,894,7.609071903,52.253895,5,1,3,9.822879,894
201903140827,109.4791667,3130,39,5,18,115.25,912,9.571322101,63.128756,7.046726,2.523133,4.787307,12.1136425,912,10.58125786,71.55632,7.155417,2,4,14,912,38.55272588,276.266,27.554,9.414,17.07,48.366,912,7.940265803,70.446922,5.366563,0.707107,3.110584,10,912
