datetime,stockprice,price
2018/1/10,openingprice,7555
2018/1/10,closingprice,7706
2018/1/10,highprice,7721
2018/1/10,lowprice,7549
2018/1/10,tradevolum,9036800
2018/1/11,openingprice,7572
2018/1/11,closingprice,7629
2018/1/11,highprice,7631
2018/1/11,lowprice,7551
2018/1/11,tradevolum,8857000
2018/1/12,openingprice,7599
2018/1/12,closingprice,7578
2018/1/12,highprice,7625
2018/1/12,lowprice,7561
2018/1/12,tradevolum,7652400
2018/1/15,openingprice,7619
2018/1/15,closingprice,7653
2018/1/15,highprice,7688
2018/1/15,lowprice,7610
2018/1/15,tradevolum,5035800
2018/1/16,openingprice,7665
2018/1/16,closingprice,7733
2018/1/16,highprice,7737
2018/1/16,lowprice,7644
2018/1/16,tradevolum,5603700
2018/1/17,openingprice,7700
2018/1/17,closingprice,7782
2018/1/17,highprice,7784
2018/1/17,lowprice,7688
2018/1/17,tradevolum,6575600
2018/1/18,openingprice,7800
2018/1/18,closingprice,7698
2018/1/18,highprice,7806
2018/1/18,lowprice,7670
2018/1/18,tradevolum,8646900
2018/1/19,openingprice,7735
2018/1/19,closingprice,7739
2018/1/19,highprice,7746
2018/1/19,lowprice,7671
2018/1/19,tradevolum,6237300
2018/1/22,openingprice,7700
2018/1/22,closingprice,7679
2018/1/22,highprice,7706
2018/1/22,lowprice,7663
2018/1/22,tradevolum,6180900
2018/1/23,openingprice,7700
2018/1/23,closingprice,7740
2018/1/23,highprice,7755
2018/1/23,lowprice,7695
2018/1/23,tradevolum,6031300
2018/1/24,openingprice,7690
2018/1/24,closingprice,7673
2018/1/24,highprice,7723
2018/1/24,lowprice,7666
2018/1/24,tradevolum,5893500
2018/1/25,openingprice,7580
2018/1/25,closingprice,7594
2018/1/25,highprice,7621
2018/1/25,lowprice,7549
2018/1/25,tradevolum,5046000
2018/1/26,openingprice,7624
2018/1/26,closingprice,7608
2018/1/26,highprice,7656
2018/1/26,lowprice,7605
2018/1/26,tradevolum,5372100
2018/1/29,openingprice,7560
2018/1/29,closingprice,7643
2018/1/29,highprice,7687
2018/1/29,lowprice,7547
2018/1/29,tradevolum,5170600
2018/1/30,openingprice,7674
2018/1/30,closingprice,7629
2018/1/30,highprice,7722
2018/1/30,lowprice,7599
2018/1/30,tradevolum,7712900
2018/1/31,openingprice,7599
2018/1/31,closingprice,7480
2018/1/31,highprice,7633
2018/1/31,lowprice,7455
2018/1/31,tradevolum,8239800
2018/1/4,openingprice,7300
2018/1/4,closingprice,7413
2018/1/4,highprice,7413
2018/1/4,lowprice,7293
2018/1/4,tradevolum,9355400
2018/1/5,openingprice,7450
2018/1/5,closingprice,7552
2018/1/5,highprice,7555
2018/1/5,lowprice,7448
2018/1/5,tradevolum,8616400
2018/1/9,openingprice,7572
2018/1/9,closingprice,7541
2018/1/9,highprice,7582
2018/1/9,lowprice,7486
2018/1/9,tradevolum,7063800
2018/10/1,openingprice,7054
2018/10/1,closingprice,7060
2018/10/1,highprice,7084
2018/10/1,lowprice,7022
2018/10/1,tradevolum,5387000
